sID,PosX,PosY,PosZ,Area,Intensity_Center_Ch_01,Intensity_Center_Ch_02,Intensity_Max_Ch_01,Intensity_Max_Ch_02,Intensity_Mean_Ch_01,Intensity_Mean_Ch_02,Intensity_Median_Ch_01,Intensity_Median_Ch_02,Intensity_Min_Ch_01,Intensity_Min_Ch_02,Intensity_StdDev_Ch_01,Intensity_StdDev_Ch_02,Intensity_Sum_Ch_01,Intensity_Sum_Ch_02,Sphericity,Volume
701,252.157,313.472,13.7271,607.499,577.719,1754.77,611,2108,337.711,635.311,300.547,476.438,253,292,85.6994,369.905,260375,489825,8907.87,1183.73
702,241.918,320.302,16.7936,71.2026,279.605,372.828,289,430,280.579,380.763,281.953,382.891,267,340,5.48975,22.729,10662,14469,8757.47,46.3005
703,398.668,352.675,14.427,200.009,279.66,338.838,305,420,285.117,367.216,283.906,365.625,269,304,7.91574,22.1942,31648,40761,6376.29,135.426
704,271.986,250.908,14.0378,534.15,445.427,423.914,464,517,351.412,352.739,341.281,340.906,277,272,40.1349,47.4044,153567,154147,7107.25,695.538
705,261.83,319.417,13.957,414.164,293.358,403.504,536,1461,309.267,515.092,291.938,427.625,252,280,53.1459,215.138,107625,179252,7633.92,528.633
706,254.435,329.378,14.8215,526.189,744.659,2382.39,900,3030,375.072,767.759,307.688,490.234,252,275,140.695,576.781,249048,509792,9315.64,1020.48
707,393.826,337.402,14.9699,74.1642,273.692,388.856,296,521,283.406,410.469,284.953,398.641,268,330,7.88145,49.231,9069,13135,8156.69,44.2422
708,356.136,361.452,15.736,375.537,471.823,308.089,531,389,384.035,293.186,373.992,290.945,300,235,52.3625,26.663,109450,83558,7217.65,419.611
709,276.109,366.869,16.0212,259.93,318.772,345.688,330,431,301.644,348.098,300.93,345.84,269,302,13.2598,22.947,58519,67531,7686.69,265.563
710,381.148,396.163,16.3326,368.12,277.981,330.168,395,713,301.074,441.323,293.945,416.43,265,307,26.4152,87.8095,93333,136810,7827.73,459.951
711,26.1122,10.0471,17.963,334.372,283.307,555.778,308,702,272.398,465.126,270.844,446.801,250,345,10.8561,86.8481,84171,143724,8628.03,460.772
